ID,Type,URL,Status,Title,Section,Category.Price,Category.Brand,Category.Style,Category.Colour,Body,Teaser,Image,Product.SKU,Product.ListPrice,Product.SellPrice,Product.Saving,Product.Stock.Value,Product.Stock.Message
9537,Product,HER-BRAND/PATRICK-COX/BEVERLEY,1,"PATRICK COX BEVERLEY BROWN",HER,£100+,"PATRICK COX",BOOTS,BROWN,"<p>Chocolate brown knee-high boot with thick block heel and rounded toe. Perfect for a classy work to bar transition that can be teamed with any thing from knee-length pencil skirts to smart jeans. A long-lasting style in a long-lasting finish.</p>","<p>Chocolate brown knee-high boot with thick block heel and rounded toe. Perfect for a classy work to bar transition that can be teamed with any thing from knee-length pencil skirts to smart jeans. A long-lasting style in a long-lasting finish.</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/PC Beverley Dark Brown.png&resizetoWidth=174",2064812500920,275.00,137.00,138.00,1,"In Stock"
9538,Product,HER-BRAND/PATRICK-COX/RAINBOW,1,"PATRICK COX RAINBOW BROWN",HER,£100+,"PATRICK COX",BOOTS,BROWN,"<p>Flat calf-length leather boots in a creamy caramel tone. The small lace up feature combined with the on trend brass detail make this Patrick Cox style a very chic option.</p>","<p>Flat calf-length leather boots in a creamy caramel tone. The small lace up feature combined with the on trend brass detail make this Patrick Cox style a very chic option.</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/PC Rainbow Light Brown.png&resizetoWidth=174",2064830500910,295.00,150.00,145.00,1,"In Stock"
9539,Product,HER-BRAND/PATRICK-COX/WINNER-9539,1,"PATRICK COX WINNER BLACK",HER,£100+,"PATRICK COX",WEDGES,BLACK,"<p>Key features to this fabulous wedge make Winner a... winner! Oversized gold buckles as well as chic studding and shiny thick straps, all elements that make these shoes real show-stoppers.</p>","<p>Key features to this fabulous wedge make Winner a... winner! Oversized gold buckles as well as chic studding and shiny thick straps, all elements that make these shoes real show-stoppers.</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/PC Winner Metal BlackGold.png&resizetoWidth=174",2129021500810,200.00,100.00,100.00,1,"In Stock"
9540,Product,HIS-BRAND/PATRICK-COX/BUSTER,1,"PATRICK COX BUSTER GREY",HIS,£100+,"PATRICK COX",SHOES,GREY,"<p>Smart, polished shoe with thin laces and rounded toe. The stylish, brogue detailing gives them a trendy edge. Available in chocolate brown, black, grey or cognac.</p>","<p>Smart, polished shoe with thin laces and rounded toe. The stylish, brogue detailing gives them a trendy edge. Available in chocolate brown, black, grey or cognac.</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/PC Busta Palma Grey.png&resizetoWidth=174",3084366600120,275.00,190.00,85.00,1,"In Stock"
9541,Product,HIS-BRAND/PATRICK-COX/BUSTER-9541,1,"PATRICK COX BUSTER BROWN",HIS,£100+,"PATRICK COX",SHOES,BROWN,"<p>Smart, polished shoe with thin laces and rounded toe. The stylish, brogue detailing gives them a trendy edge. Available in chocolate brown, black, grey or cognac.</p>","<p>Smart, polished shoe with thin laces and rounded toe. The stylish, brogue detailing gives them a trendy edge. Available in chocolate brown, black, grey or cognac.</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/PC Busta Palma Choc.png&resizetoWidth=174","3084366600930 ",275.00,190.00,85.00,1,"In Stock"
9542,Product,HIS-BRAND/PATRICK-COX/BRODY,1,"PATRICK COX BRODY BLACK",HIS,£100+,"PATRICK COX",SHOES,BLACK,"<p>Classic lace-up shoe with rounded toe and polished finish. A great office to after work drinks footwear option.</p>","<p>Classic lace-up shoe with rounded toe and polished finish. A great office to after work drinks footwear option.</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/PC Brody Palma Black.png&resizetoWidth=174",3084367600080,275.00,180.00,95.00,1,"In Stock"
9544,Product,HIS-BRAND/PATRICK-COX/PONDER,1,"PATRICK COX PONDER BROWN",HIS,£100+,"PATRICK COX",BOOTS,BROWN,"<p>Chocolate brown sleek ankle boot with slight square toe and polished finish. The inner zip detail ensures ease for putting on and taking off, and they&#39;re a great alternative to shoes for the Winter months. &nbsp;Also available in Black</p>","<p>Chocolate brown sleek ankle boot with slight square toe and polished finish. The inner zip detail ensures ease for putting on and taking off, and they&#39;re a great alternative to shoes for the Winter months. &nbsp;Also available in Black</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/PC Ponder Palma Choc.png&resizetoWidth=174",3109761600930,285.00,200.00,85.00,1,"In Stock"
9545,Product,HER-BRAND/BLOWFISH/HAMISH,1,"BLOWFISH HAMISH BLACK",HER,"£50 to £75",BLOWFISH,BOOTS,BLACK,"<p>A slouchy mid-calf length boot with five button detailing and matching sole. Would look great with knee length socks in a contrasting colour and neat tailored shorts! Also available in black street denim, navy street denim and grey street denim. &nbsp;</p>","<p>A slouchy mid-calf length boot with five button detailing and matching sole. Would look great with knee length socks in a contrasting colour and neat tailored shorts! Also available in black street denim, navy street denim and grey street denim. &nbsp; ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/BLO Hamish Black Relax.png&resizetoWidth=174",BLO200030350,55.00,55.00,0.00,NULL,"Out of Stock"
9546,Product,HER-BRAND/BLOWFISH/HAMISH-9546,1,"BLOWFISH HAMISH GREY",HER,"£50 to £75",BLOWFISH,BOOTS,GREY,"<p>A slouchy mid-calf length boot with five button detailing and matching sole. Would look great with knee length socks in a contrasting colour and neat tailored shorts! Also available in black street denim, navy street denim and black PU leather.&nbsp;</p>","<p>A slouchy mid-calf length boot with five button detailing and matching sole. Would look great with knee length socks in a contrasting colour and neat tailored shorts! Also available in black street denim, navy street denim and black PU leather.&nbsp;</ ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/BLO Hamish Steel Grey Street Denim.png&resizetoWidth=174",BLO200030950,55.00,55.00,0.00,NULL,"Out of Stock"
9548,Product,HER-BRAND/BLOWFISH/HAMISH-9548,1,"BLOWFISH HAMISH BLUE",HER,"£25 to £50",BLOWFISH,BOOTS,BLUE,"<p>A slouchy mid-calf length boot with five button detailing and matching sole. Would look great with knee length socks in a contrasting colour and neat tailored shorts! Also available in black street denim, grey street denim and black PU leather.&nbsp;</p>","<p>A slouchy mid-calf length boot with five button detailing and matching sole. Would look great with knee length socks in a contrasting colour and neat tailored shorts! Also available in black street denim, grey street denim and black PU leather.&nbsp;</ ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/BLO Hamish Navy SD copy.png&resizetoWidth=174",BLO200034300,55.00,40.00,15.00,0,"Out of Stock"
9549,Product,HER-BRAND/BLOWFISH/HABBIT,1,"BLOWFISH HABBIT BLACK",HER,"£25 to £50",BLOWFISH,"ANKLE BOOTS",BLACK,"<p>Four buttons add just the right amount of eye catching detail to this cool slouchy ankle boot with thick rubber sole. Available in PU&nbsp;leather or canvas in bark, black, navy denim or brown.</p>","<p>Four buttons add just the right amount of eye catching detail to this cool slouchy ankle boot with thick rubber sole. Available in PU&nbsp;leather or canvas in bark, black, navy denim or brown.</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/BLO Habbit Black Relax.png&resizetoWidth=174",BLO200040350,40.00,30.00,10.00,NULL,"Out of Stock"
9550,Product,HER-BRAND/BLOWFISH/HABBIT-9550,1,"BLOWFISH HABBIT CREAM",HER,"£25 to £50",BLOWFISH,"ANKLE BOOTS",CREAM,"<p>Four buttons add just the right amount of eye catching detail to this cool slouchy ankle boot with thick rubber sole. Available in PU Leather or canvas in bark, black, navy denim or brown.</p>","<p>Four buttons add just the right amount of eye catching detail to this cool slouchy ankle boot with thick rubber sole. Available in PU Leather or canvas in bark, black, navy denim or brown.</p> ...","http://www.mrsmarcos.co.uk/warp_image.php?imagefile=warp_sites/mrsmarcos.g6/files/BLO Habbit Bark Stone Wash Canvas.png&resizetoWidth=174",BLO200042010,0.00,30.00,-30.00,NULL,"Out of Stock"
